catch_raw_id,trap_visit_id,release_id,trap_visit_time_end,stream,site,trap_name,species_common_name,capture_run,capture_run_method,adipose_clipped,dead,life_stage,fork_length,weight,num_fish_caught,plus_count,plus_count_methodology,is_random,mark_type,mark_color,mark_position
134,15,NA,2023-11-15T01:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento sucker,NA,NA,NA,NA,NA,162,NA,1,NA,NA,NA,NA,NA,NA
137,16,NA,2023-12-21T12:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,91,NA,1,NA,NA,NA,NA,NA,NA
144,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,62,NA,1,NA,NA,NA,NA,NA,NA
147,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,55,NA,1,NA,NA,NA,NA,NA,NA
154,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,48,NA,1,NA,NA,NA,NA,NA,NA
157,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,45,NA,1,NA,NA,NA,NA,NA,NA
163,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,TRUE,NA,NA,NA,24,NA,NA,NA,NA,NA,NA
167,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,American shad,NA,NA,NA,NA,NA,105,NA,1,NA,NA,NA,NA,NA,NA
172,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,American shad,NA,NA,NA,NA,NA,83,NA,1,NA,NA,NA,NA,NA,NA
177,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,American shad,NA,NA,NA,NA,NA,95,NA,1,NA,NA,NA,NA,NA,NA
182,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,American shad,NA,NA,NA,NA,NA,100,NA,1,NA,NA,NA,NA,NA,NA
187,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,115,NA,1,NA,NA,NA,NA,NA,NA
192,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,109,NA,1,NA,NA,NA,NA,NA,NA
196,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,109,NA,1,NA,NA,NA,NA,NA,NA
202,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,120,NA,1,NA,NA,NA,NA,NA,NA
206,18,NA,2023-12-20T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Speckled dace,NA,NA,NA,NA,NA,48,NA,1,NA,NA,NA,NA,NA,NA
212,19,NA,2023-10-20T09:51:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,42,NA,1,NA,NA,NA,NA,NA,NA
216,19,NA,2023-10-20T09:51:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,American shad,NA,NA,NA,NA,NA,105,NA,1,NA,NA,NA,NA,NA,NA
222,20,NA,2023-12-22T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,NA,NA,NA,NA,silvery parr,94,NA,1,NA,NA,NA,NA,NA,NA
226,20,NA,2023-12-22T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,NA,NA,NA,NA,silvery parr,81,NA,1,NA,NA,NA,NA,NA,NA
232,20,NA,2023-12-22T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,120,NA,1,NA,NA,NA,NA,NA,NA
236,20,NA,2023-12-22T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,105,NA,1,NA,NA,NA,NA,NA,NA
240,20,NA,2023-12-22T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,105,NA,1,NA,NA,NA,NA,NA,NA
246,20,NA,2023-12-22T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,American shad,NA,NA,NA,NA,NA,106,NA,1,NA,NA,NA,NA,NA,NA
250,20,NA,2023-12-22T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,44,NA,1,NA,NA,NA,NA,NA,NA
256,20,NA,2023-12-22T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,49,NA,1,NA,NA,NA,NA,NA,NA
260,20,NA,2023-12-22T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,52,NA,1,NA,NA,NA,NA,NA,NA
266,20,NA,2023-12-22T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,55,NA,1,NA,NA,NA,NA,NA,NA
270,20,NA,2023-12-22T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,85,NA,1,NA,NA,NA,NA,NA,NA
276,22,NA,2023-12-29T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,American shad,NA,NA,NA,NA,NA,105,NA,1,NA,NA,NA,NA,NA,NA
280,22,NA,2023-12-29T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,River lamprey,NA,NA,NA,NA,NA,100,NA,1,NA,NA,NA,NA,NA,NA
284,24,NA,2024-01-03T09:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,60,NA,1,NA,NA,NA,NA,NA,NA
290,24,NA,2024-01-03T09:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,121,NA,1,NA,NA,NA,NA,NA,NA
294,24,NA,2024-01-03T09:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,132,NA,1,NA,NA,NA,NA,NA,NA
300,26,NA,2024-01-04T11:51:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,120,NA,1,NA,NA,NA,NA,NA,NA
304,26,NA,2024-01-04T11:51:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,American shad,NA,NA,NA,NA,NA,84,NA,1,NA,NA,NA,NA,NA,NA
310,26,NA,2024-01-04T11:51:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,103,NA,1,NA,NA,NA,NA,NA,NA
314,26,NA,2024-01-04T11:51:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,120,NA,1,NA,NA,NA,NA,NA,NA
320,26,NA,2024-01-04T11:51:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,95,NA,1,NA,NA,NA,NA,NA,NA
324,27,NA,2023-12-04T09:11:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,123,NA,1,NA,NA,NA,NA,NA,NA
329,29,NA,2024-01-05T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,150,NA,1,NA,NA,NA,NA,NA,NA
334,28,NA,2023-12-05T12:15:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Unknown lamprey (Entosphenus or Lampetra),NA,NA,NA,NA,NA,105,NA,1,NA,NA,NA,NA,NA,NA
338,32,NA,2024-01-10T10:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Steelhead / rainbow trout,NA,NA,NA,NA,smolt,228,NA,1,NA,NA,NA,NA,NA,NA
344,30,NA,2023-11-06T11:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,53,NA,1,NA,NA,NA,NA,NA,NA
348,30,NA,2023-11-06T11:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,77,NA,1,NA,NA,NA,NA,NA,NA
354,33,NA,2023-12-07T11:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,California roach,NA,NA,NA,NA,NA,75,NA,1,NA,NA,NA,NA,NA,NA
358,33,NA,2023-12-07T11:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,84,NA,1,NA,NA,NA,NA,NA,NA
363,35,NA,2023-11-08T10:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,65,NA,1,NA,NA,NA,NA,NA,NA
368,35,NA,2023-11-08T10:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Unknown lamprey (Entosphenus or Lampetra),NA,NA,NA,NA,NA,120,NA,1,NA,NA,NA,NA,NA,NA
372,36,NA,2024-01-14T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,NA,NA,NA,NA,silvery parr,89,7.5,1,NA,NA,NA,NA,NA,NA
378,36,NA,2024-01-14T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,113,NA,1,NA,NA,NA,NA,NA,NA
382,36,NA,2024-01-14T00:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,116,NA,1,NA,NA,NA,NA,NA,NA
388,37,NA,2023-11-11T11:15:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,American shad,NA,NA,NA,NA,NA,96,NA,1,NA,NA,NA,NA,NA,NA
392,37,NA,2023-11-11T11:15:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,71,NA,1,NA,NA,NA,NA,NA,NA
398,37,NA,2023-11-11T11:15:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,72,NA,1,NA,NA,NA,NA,NA,NA
401,38,NA,2024-01-17T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,109,NA,1,NA,NA,NA,NA,NA,NA
407,38,NA,2024-01-17T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,112,NA,1,NA,NA,NA,NA,NA,NA
411,38,NA,2024-01-17T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,123,NA,1,NA,NA,NA,NA,NA,NA
416,38,NA,2024-01-17T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,129,NA,1,NA,NA,NA,NA,NA,NA
421,38,NA,2024-01-17T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Unknown lamprey (Entosphenus or Lampetra),NA,NA,NA,NA,NA,105,NA,1,NA,NA,NA,NA,NA,NA
426,38,NA,2024-01-17T09:30:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Unknown lamprey (Entosphenus or Lampetra),NA,NA,NA,NA,NA,70,NA,1,NA,NA,NA,NA,NA,NA
3,2,NA,2023-11-06T09:50:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Pacific lamprey,NA,NA,NA,NA,NA,106,NA,1,NA,NA,NA,NA,NA,NA
6,2,NA,2023-11-06T09:50:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Hardhead,NA,NA,NA,NA,NA,33,NA,1,NA,NA,NA,NA,NA,NA
7,2,NA,2023-11-06T09:50:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Sacramento pikeminnow,NA,NA,NA,NA,NA,40,NA,1,NA,NA,NA,NA,NA,NA
2,1,NA,2023-10-25T09:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,42,NA,1,NA,NA,NA,NA,NA,NA
8,3,NA,2023-11-01T10:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,85,NA,1,NA,NA,NA,NA,NA,NA
1,1,NA,2023-10-25T09:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,79,NA,1,NA,NA,NA,NA,NA,NA
9,1,NA,2023-10-25T09:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,42,NA,1,NA,NA,NA,NA,NA,NA
10,3,NA,2023-11-01T10:30:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento pikeminnow,NA,NA,NA,NA,NA,105,NA,1,NA,NA,NA,NA,NA,NA
13,4,NA,2023-12-05T09:45:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Western brook lamprey,NA,NA,NA,NA,NA,115,NA,1,NA,NA,NA,NA,NA,NA
14,5,NA,2023-11-03T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Unknown sculpin (Cottus),NA,NA,NA,NA,NA,65,NA,1,NA,NA,NA,NA,NA,NA
15,5,NA,2023-11-03T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Unknown sculpin (Cottus),NA,NA,NA,NA,NA,65,NA,1,NA,NA,NA,NA,NA,NA
16,5,NA,2023-11-03T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Unknown sculpin (Cottus),NA,NA,NA,NA,NA,67,NA,1,NA,NA,NA,NA,NA,NA
17,5,NA,2023-11-03T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,26,NA,1,NA,NA,NA,NA,NA,NA
18,5,NA,2023-11-03T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,32,NA,1,NA,NA,NA,NA,NA,NA
19,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento pikeminnow,NA,NA,NA,NA,NA,92,NA,1,NA,NA,NA,NA,NA,NA
20,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento sucker,NA,NA,NA,NA,NA,160,NA,1,NA,NA,NA,NA,NA,NA
23,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento pikeminnow,NA,NA,NA,NA,NA,105,NA,1,NA,NA,NA,NA,NA,NA
24,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento pikeminnow,NA,NA,NA,NA,NA,85,NA,1,NA,NA,NA,NA,NA,NA
25,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,75,NA,1,NA,NA,NA,NA,NA,NA
26,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,76,NA,1,NA,NA,NA,NA,NA,NA
27,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,69,NA,1,NA,NA,NA,NA,NA,NA
28,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,74,NA,1,NA,NA,NA,NA,NA,NA
29,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,80,NA,1,NA,NA,NA,NA,NA,NA
30,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,79,NA,1,NA,NA,NA,NA,NA,NA
33,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,72,NA,1,NA,NA,NA,NA,NA,NA
34,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,73,NA,1,NA,NA,NA,NA,NA,NA
35,8,NA,2023-12-11T09:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Chinook salmon,NA,NA,NA,NA,silvery parr,103,125,1,NA,NA,NA,NA,NA,NA
36,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,33,NA,1,NA,NA,NA,NA,NA,NA
37,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,112,NA,1,NA,NA,NA,NA,NA,NA
38,7,NA,2023-11-06T10:50:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,38,NA,1,NA,NA,NA,NA,NA,NA
39,8,NA,2023-12-11T09:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Unknown lamprey (Entosphenus or Lampetra),NA,NA,NA,NA,NA,95,NA,1,NA,NA,NA,NA,NA,NA
40,8,NA,2023-12-11T09:40:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,Unknown lamprey (Entosphenus or Lampetra),NA,NA,NA,NA,NA,90,NA,1,NA,NA,NA,NA,NA,NA
44,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,31,NA,1,NA,NA,NA,NA,NA,NA
43,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,182,NA,1,NA,NA,NA,NA,NA,NA
45,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,30,NA,1,NA,NA,NA,NA,NA,NA
46,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,36,NA,1,NA,NA,NA,NA,NA,NA
47,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,161,NA,1,NA,NA,NA,NA,NA,NA
48,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,33,NA,1,NA,NA,NA,NA,NA,NA
50,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,115,NA,1,NA,NA,NA,NA,NA,NA
51,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,110,NA,1,NA,NA,NA,NA,NA,NA
52,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,69,NA,1,NA,NA,NA,NA,NA,NA
54,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,80,NA,1,NA,NA,NA,NA,NA,NA
55,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,73,NA,1,NA,NA,NA,NA,NA,NA
56,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,86,NA,1,NA,NA,NA,NA,NA,NA
57,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,68,NA,1,NA,NA,NA,NA,NA,NA
58,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Prickly sculpin,NA,NA,NA,NA,NA,71,NA,1,NA,NA,NA,NA,NA,NA
60,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,83,NA,1,NA,NA,NA,NA,NA,NA
61,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento sucker,NA,NA,NA,NA,NA,104,NA,1,NA,NA,NA,NA,NA,NA
63,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento sucker,NA,NA,NA,NA,NA,126,NA,1,NA,NA,NA,NA,NA,NA
64,10,NA,2023-12-13T09:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,California roach,NA,NA,NA,NA,NA,73,NA,1,NA,NA,NA,NA,NA,NA
65,10,NA,2023-12-13T09:00:00Z,Deer Creek,Deer Creek RST,Deer Creek RST,California roach,NA,NA,NA,NA,NA,82,NA,1,NA,NA,NA,NA,NA,NA
66,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento sucker,NA,NA,NA,NA,NA,73,NA,1,NA,NA,NA,NA,NA,NA
67,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Sacramento sucker,NA,NA,NA,NA,NA,110,NA,1,NA,NA,NA,NA,NA,NA
68,9,NA,2023-11-07T02:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Riffle sculpin,NA,NA,NA,NA,NA,70,NA,1,NA,NA,NA,NA,NA,NA
70,11,NA,2023-11-08T09:00:00Z,Mill Creek,Mill Creek RST,Mill Creek RST,Hardhead,NA,NA,NA,NA,NA,115,NA,1,NA,NA,NA,NA,NA,NA
